% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.116	2	1	12	7	1	28	2196	0	0	0
0.32	1	8	33	1	16	28	2196	0	0	0
0.118	2	1	12	9	1	28	2196	0	0	0
0.119	2	1	12	10	1	28	2196	0	0	0
0.321	1	6	33	2	1	28	2196	0	0	0
0.322	1	3	33	3	2	28	2196	0	0	0
0.126	2	1	13	7	1	28	2196	0	0	0
0.128	2	1	13	9	1	28	2196	0	0	0
0.323	1	4	33	4	3	28	2196	0	0	0
0.136	2	1	14	7	1	28	2196	0	0	0
0.324	1	9	33	5	4	28	2196	0	0	0
0.138	2	1	14	9	1	28	2196	0	0	0
0.325	1	7	33	6	9	28	2196	0	0	0
0.146	2	1	15	7	1	28	2196	0	0	0
0.148	2	1	15	9	1	28	2196	0	0	0
0.326	1	2	33	7	10	28	2196	0	0	0
0.327	1	10	33	8	11	28	2196	0	0	0
0.156	2	1	16	7	1	28	2196	0	0	0
0.158	2	1	16	9	1	28	2196	0	0	0
0.328	1	1	33	9	12	28	2196	0	0	0
0.166	2	1	17	7	1	28	2196	0	0	0
0.168	2	1	17	9	1	28	2196	0	0	0
0.329	1	5	33	10	15	28	2196	0	0	0
0.176	2	1	18	7	1	28	2196	0	0	0
0.33	1	8	34	1	16	28	2196	0	0	0
0.178	2	1	18	9	1	28	2196	0	0	0
0.331	1	6	34	2	1	28	2196	0	0	0
0.186	2	1	19	7	1	28	2196	0	0	0
0.188	2	1	19	9	1	28	2196	0	0	0
0.332	1	3	34	3	2	28	2196	0	0	0
0.196	2	1	20	7	1	28	2196	0	0	0
0.333	1	4	34	4	3	28	2196	0	0	0
0.198	2	1	20	9	1	28	2196	0	0	0
0.334	1	9	34	5	4	28	2196	0	0	0
0.206	2	1	21	7	1	28	2196	0	0	0
0.335	1	7	34	6	9	28	2196	0	0	0
0.208	2	1	21	9	1	28	2196	0	0	0
0.336	1	2	34	7	10	28	2196	0	0	0
0.216	2	1	22	7	1	28	2196	0	0	0
0.218	2	1	22	9	1	28	2196	0	0	0
0.337	1	10	34	8	11	28	2196	0	0	0
0.226	2	1	23	7	1	28	2196	0	0	0
0.338	1	1	34	9	12	28	2196	0	0	0
0.228	2	1	23	9	1	28	2196	0	0	0
0.339	1	5	34	10	15	28	2196	0	0	0
0.236	2	1	24	7	1	28	2196	0	0	0
0.238	2	1	24	9	1	28	2196	0	0	0
0.34	1	8	35	1	16	28	2196	0	0	0
0.246	2	1	25	7	1	28	2196	0	0	0
0.341	1	6	35	2	1	28	2196	0	0	0
0.248	2	1	25	9	1	28	2196	0	0	0
0.342	1	3	35	3	2	28	2196	0	0	0
0.256	2	1	26	7	1	28	2196	0	0	0
0.258	2	1	26	9	1	28	2196	0	0	0
0.343	1	4	35	4	3	28	2196	0	0	0
0.344	1	9	35	5	4	28	2196	0	0	0
0.266	2	1	27	7	1	28	2196	0	0	0
0.268	2	1	27	9	1	28	2196	0	0	0
0.345	1	7	35	6	9	28	2196	0	0	0
0.276	2	1	28	7	1	28	2196	0	0	0
0.346	1	2	35	7	10	28	2196	0	0	0
0.278	2	1	28	9	1	28	2196	0	0	0
0.347	1	10	35	8	11	28	2196	0	0	0
0.286	2	1	29	7	1	28	2196	0	0	0
0.288	2	1	29	9	1	28	2196	0	0	0
0.348	1	1	35	9	12	28	2196	0	0	0
0.296	2	1	30	7	1	28	2196	0	0	0
0.298	2	1	30	9	1	28	2196	0	0	0
0.349	1	5	35	10	15	28	2196	0	0	0
0.35	1	8	36	1	16	28	2196	0	0	0
0.351	1	6	36	2	1	28	2196	0	0	0
0.352	1	3	36	3	2	28	2196	0	0	0
0.353	1	4	36	4	3	28	2196	0	0	0
0.354	1	9	36	5	4	28	2196	0	0	0
0.355	1	7	36	6	9	28	2196	0	0	0
0.356	1	2	36	7	10	28	2196	0	0	0
0.357	1	10	36	8	11	28	2196	0	0	0
0.358	1	1	36	9	12	28	2196	0	0	0
0.359	1	5	36	10	15	28	2196	0	0	0
0.36	1	8	37	1	16	28	2196	0	0	0
0.361	1	6	37	2	1	28	2196	0	0	0
0.362	1	3	37	3	2	28	2196	0	0	0
0.363	1	4	37	4	3	28	2196	0	0	0
0.364	1	9	37	5	4	28	2196	0	0	0
0.365	1	7	37	6	9	28	2196	0	0	0
0.366	1	2	37	7	10	28	2196	0	0	0
0.367	1	10	37	8	11	28	2196	0	0	0
0.368	1	1	37	9	12	28	2196	0	0	0
0.369	1	5	37	10	15	28	2196	0	0	0
0.37	1	8	38	1	16	28	2196	0	0	0
0.371	1	6	38	2	1	28	2196	0	0	0
0.372	1	3	38	3	2	28	2196	0	0	0
0.373	1	4	38	4	3	28	2196	0	0	0
0.374	1	9	38	5	4	28	2196	0	0	0
0.375	1	7	38	6	9	28	2196	0	0	0
0.376	1	2	38	7	10	28	2196	0	0	0
0.377	1	10	38	8	11	28	2196	0	0	0
0.378	1	1	38	9	12	28	2196	0	0	0
0.379	1	5	38	10	15	28	2196	0	0	0
0.38	1	8	39	1	16	28	2196	0	0	0
0.381	1	6	39	2	1	28	2196	0	0	0
0.382	1	3	39	3	2	28	2196	0	0	0
0.383	1	4	39	4	3	28	2196	0	0	0
0.384	1	9	39	5	4	28	2196	0	0	0
0.385	1	7	39	6	9	28	2196	0	0	0
0.386	1	2	39	7	10	28	2196	0	0	0
0.387	1	10	39	8	11	28	2196	0	0	0
0.388	1	1	39	9	12	28	2196	0	0	0
0.389	1	5	39	10	15	28	2196	0	0	0
0.39	1	8	40	1	16	28	2196	0	0	0
0.391	1	6	40	2	1	28	2196	0	0	0
0.392	1	3	40	3	2	28	2196	0	0	0
0.393	1	4	40	4	3	28	2196	0	0	0
0.394	1	9	40	5	4	28	2196	0	0	0
0.395	1	7	40	6	9	28	2196	0	0	0
0.396	1	2	40	7	10	28	2196	0	0	0
0.397	1	10	40	8	11	28	2196	0	0	0
0.398	1	1	40	9	12	28	2196	0	0	0
0.399	1	5	40	10	15	28	2196	0	0	0
0.4	1	8	41	1	16	28	2196	0	0	0
0.401	1	6	41	2	1	28	2196	0	0	0
0.402	1	3	41	3	2	28	2196	0	0	0
0.403	1	4	41	4	3	28	2196	0	0	0
0.404	1	9	41	5	4	28	2196	0	0	0
0.405	1	7	41	6	9	28	2196	0	0	0
0.406	1	2	41	7	10	28	2196	0	0	0
0.407	1	10	41	8	11	28	2196	0	0	0
0.408	1	1	41	9	12	28	2196	0	0	0
0.409	1	5	41	10	15	28	2196	0	0	0
0.41	1	8	42	1	16	28	2196	0	0	0
0.411	1	6	42	2	1	28	2196	0	0	0
0.412	1	3	42	3	2	28	2196	0	0	0
0.413	1	4	42	4	3	28	2196	0	0	0
0.414	1	9	42	5	4	28	2196	0	0	0
0.415	1	7	42	6	9	28	2196	0	0	0
0.416	1	2	42	7	10	28	2196	0	0	0
0.417	1	10	42	8	11	28	2196	0	0	0
0.418	1	1	42	9	12	28	2196	0	0	0
0.419	1	5	42	10	15	28	2196	0	0	0
0.42	1	8	43	1	16	28	2196	0	0	0
0.421	1	6	43	2	1	28	2196	0	0	0
0.422	1	3	43	3	2	28	2196	0	0	0
0.423	1	4	43	4	3	28	2196	0	0	0
0.424	1	9	43	5	4	28	2196	0	0	0
0.425	1	7	43	6	9	28	2196	0	0	0
0.426	1	2	43	7	10	28	2196	0	0	0
0.427	1	10	43	8	11	28	2196	0	0	0
0.428	1	1	43	9	12	28	2196	0	0	0
0.429	1	5	43	10	15	28	2196	0	0	0
0.43	1	8	44	1	16	28	2196	0	0	0
0.431	1	6	44	2	1	28	2196	0	0	0
0.432	1	3	44	3	2	28	2196	0	0	0
0.433	1	4	44	4	3	28	2196	0	0	0
0.434	1	9	44	5	4	28	2196	0	0	0
0.435	1	7	44	6	9	28	2196	0	0	0
0.436	1	2	44	7	10	28	2196	0	0	0
0.437	1	10	44	8	11	28	2196	0	0	0
0.438	1	1	44	9	12	28	2196	0	0	0
0.439	1	5	44	10	15	28	2196	0	0	0
0.44	1	8	45	1	16	28	2196	0	0	0
0.441	1	6	45	2	1	28	2196	0	0	0
0.442	1	3	45	3	2	28	2196	0	0	0
0.443	1	4	45	4	3	28	2196	0	0	0
0.444	1	9	45	5	4	28	2196	0	0	0
0.445	1	7	45	6	9	28	2196	0	0	0
0.446	1	2	45	7	10	28	2196	0	0	0
0.447	1	10	45	8	11	28	2196	0	0	0
0.448	1	1	45	9	12	28	2196	0	0	0
0.449	1	5	45	10	15	28	2196	0	0	0
0.45	1	8	46	1	16	28	2196	0	0	0
0.451	1	6	46	2	1	28	2196	0	0	0
0.452	1	3	46	3	2	28	2196	0	0	0
0.453	1	4	46	4	3	28	2196	0	0	0
0.454	1	9	46	5	4	28	2196	0	0	0
0.455	1	7	46	6	9	28	2196	0	0	0
0.456	1	2	46	7	10	28	2196	0	0	0
0.457	1	10	46	8	11	28	2196	0	0	0
0.458	1	1	46	9	12	28	2196	0	0	0
0.459	1	5	46	10	15	28	2196	0	0	0
0.46	1	8	47	1	16	28	2196	0	0	0
0.461	1	6	47	2	1	28	2196	0	0	0
0.462	1	3	47	3	2	28	2196	0	0	0
0.463	1	4	47	4	3	28	2196	0	0	0
0.464	1	9	47	5	4	28	2196	0	0	0
0.465	1	7	47	6	9	28	2196	0	0	0
0.466	1	2	47	7	10	28	2196	0	0	0
0.467	1	10	47	8	11	28	2196	0	0	0
0.468	1	1	47	9	12	28	2196	0	0	0
0.469	1	5	47	10	15	28	2196	0	0	0
0.47	1	8	48	1	16	28	2196	0	0	0
0.471	1	6	48	2	1	28	2196	0	0	0
0.472	1	3	48	3	2	28	2196	0	0	0
0.473	1	4	48	4	3	28	2196	0	0	0
0.474	1	9	48	5	4	28	2196	0	0	0
0.475	1	7	48	6	9	28	2196	0	0	0
0.476	1	2	48	7	10	28	2196	0	0	0
0.477	1	10	48	8	11	28	2196	0	0	0
0.478	1	1	48	9	12	28	2196	0	0	0
0.479	1	5	48	10	15	28	2196	0	0	0
0.48	1	8	49	1	16	28	2196	0	0	0
0.481	1	6	49	2	1	28	2196	0	0	0
0.482	1	3	49	3	2	28	2196	0	0	0
0.483	1	4	49	4	3	28	2196	0	0	0
0.484	1	9	49	5	4	28	2196	0	0	0
0.485	1	7	49	6	9	28	2196	0	0	0
0.486	1	2	49	7	10	28	2196	0	0	0
0.487	1	10	49	8	11	28	2196	0	0	0
0.488	1	1	49	9	12	28	2196	0	0	0
0.489	1	5	49	10	15	28	2196	0	0	0
0.49	1	8	50	1	16	28	2196	0	0	0
0.491	1	6	50	2	1	28	2196	0	0	0
0.492	1	3	50	3	2	28	2196	0	0	0
0.493	1	4	50	4	3	28	2196	0	0	0
0.494	1	9	50	5	4	28	2196	0	0	0
0.495	1	7	50	6	9	28	2196	0	0	0
0.496	1	2	50	7	10	28	2196	0	0	0
0.497	1	10	50	8	11	28	2196	0	0	0
0.498	1	1	50	9	12	28	2196	0	0	0
0.499	1	5	50	10	15	28	2196	0	0	0
0.5	1	8	51	1	16	28	2196	0	0	0
0.501	1	6	51	2	1	28	2196	0	0	0
0.502	1	3	51	3	2	28	2196	0	0	0
0.503	1	4	51	4	3	28	2196	0	0	0
0.504	1	9	51	5	4	28	2196	0	0	0
0.505	1	7	51	6	9	28	2196	0	0	0
0.506	1	2	51	7	10	28	2196	0	0	0
0.507	1	10	51	8	11	28	2196	0	0	0
0.508	1	1	51	9	12	28	2196	0	0	0
0.509	1	5	51	10	15	28	2196	0	0	0
0.51	1	8	52	1	16	28	2196	0	0	0
0.511	1	6	52	2	1	28	2196	0	0	0
0.512	1	3	52	3	2	28	2196	0	0	0
0.513	1	4	52	4	3	28	2196	0	0	0
0.514	1	9	52	5	4	28	2196	0	0	0
0.515	1	7	52	6	9	28	2196	0	0	0
0.516	1	2	52	7	10	28	2196	0	0	0
0.517	1	10	52	8	11	28	2196	0	0	0
0.518	1	1	52	9	12	28	2196	0	0	0
0.519	1	5	52	10	15	28	2196	0	0	0
0.52	1	8	53	1	16	28	2196	0	0	0
0.521	1	6	53	2	1	28	2196	0	0	0
0.522	1	3	53	3	2	28	2196	0	0	0
0.523	1	4	53	4	3	28	2196	0	0	0
0.524	1	9	53	5	4	28	2196	0	0	0
0.525	1	7	53	6	9	28	2196	0	0	0
0.526	1	2	53	7	10	28	2196	0	0	0
0.527	1	10	53	8	11	28	2196	0	0	0
0.528	1	1	53	9	12	28	2196	0	0	0
0.529	1	5	53	10	15	28	2196	0	0	0
0.53	1	8	54	1	16	28	2196	0	0	0
0.531	1	6	54	2	1	28	2196	0	0	0
0.532	1	3	54	3	2	28	2196	0	0	0
0.533	1	4	54	4	3	28	2196	0	0	0
0.534	1	9	54	5	4	28	2196	0	0	0
0.535	1	7	54	6	9	28	2196	0	0	0
0.536	1	2	54	7	10	28	2196	0	0	0
0.537	1	10	54	8	11	28	2196	0	0	0
0.538	1	1	54	9	12	28	2196	0	0	0
0.539	1	5	54	10	15	28	2196	0	0	0
0.54	1	8	55	1	16	28	2196	0	0	0
0.541	1	6	55	2	1	28	2196	0	0	0
0.542	1	3	55	3	2	28	2196	0	0	0
0.543	1	4	55	4	3	28	2196	0	0	0
0.544	1	9	55	5	4	28	2196	0	0	0
0.545	1	7	55	6	9	28	2196	0	0	0
0.546	1	2	55	7	10	28	2196	0	0	0
0.547	1	10	55	8	11	28	2196	0	0	0
0.548	1	1	55	9	12	28	2196	0	0	0
0.549	1	5	55	10	15	28	2196	0	0	0
0.55	1	8	56	1	16	28	2196	0	0	0
0.551	1	6	56	2	1	28	2196	0	0	0
0.552	1	3	56	3	2	28	2196	0	0	0
0.553	1	4	56	4	3	28	2196	0	0	0
0.554	1	9	56	5	4	28	2196	0	0	0
0.555	1	7	56	6	9	28	2196	0	0	0
0.556	1	2	56	7	10	28	2196	0	0	0
0.557	1	10	56	8	11	28	2196	0	0	0
0.558	1	1	56	9	12	28	2196	0	0	0
0.559	1	5	56	10	15	28	2196	0	0	0
0.56	1	8	57	1	16	28	2196	0	0	0
0.561	1	6	57	2	1	28	2196	0	0	0
0.562	1	3	57	3	2	28	2196	0	0	0
0.563	1	4	57	4	3	28	2196	0	0	0
0.564	1	9	57	5	4	28	2196	0	0	0
0.565	1	7	57	6	9	28	2196	0	0	0
0.566	1	2	57	7	10	28	2196	0	0	0
0.567	1	10	57	8	11	28	2196	0	0	0
0.568	1	1	57	9	12	28	2196	0	0	0
0.569	1	5	57	10	15	28	2196	0	0	0
0.57	1	8	58	1	16	28	2196	0	0	0
0.571	1	6	58	2	1	28	2196	0	0	0
0.572	1	3	58	3	2	28	2196	0	0	0
0.573	1	4	58	4	3	28	2196	0	0	0
0.574	1	9	58	5	4	28	2196	0	0	0
0.575	1	7	58	6	9	28	2196	0	0	0
0.576	1	2	58	7	10	28	2196	0	0	0
0.577	1	10	58	8	11	28	2196	0	0	0
0.578	1	1	58	9	12	28	2196	0	0	0
0.579	1	5	58	10	15	28	2196	0	0	0
0.58	1	8	59	1	16	28	2196	0	0	0
0.581	1	6	59	2	1	28	2196	0	0	0
0.582	1	3	59	3	2	28	2196	0	0	0
0.583	1	4	59	4	3	28	2196	0	0	0
0.584	1	9	59	5	4	28	2196	0	0	0
0.585	1	7	59	6	9	28	2196	0	0	0
0.586	1	2	59	7	10	28	2196	0	0	0
0.587	1	10	59	8	11	28	2196	0	0	0
0.588	1	1	59	9	12	28	2196	0	0	0
0.589	1	5	59	10	15	28	2196	0	0	0
0.59	1	8	60	1	16	28	2196	0	0	0
0.591	1	6	60	2	1	28	2196	0	0	0
0.592	1	3	60	3	2	28	2196	0	0	0
0.593	1	4	60	4	3	28	2196	0	0	0
0.594	1	9	60	5	4	28	2196	0	0	0
0.595	1	7	60	6	9	28	2196	0	0	0
0.596	1	2	60	7	10	28	2196	0	0	0
0.597	1	10	60	8	11	28	2196	0	0	0
0.598	1	1	60	9	12	28	2196	0	0	0
0.599	1	5	60	10	15	28	2196	0	0	0
0.6	1	8	61	1	16	28	2196	0	0	0
0.601	1	6	61	2	1	28	2196	0	0	0
0.602	1	3	61	3	2	28	2196	0	0	0
0.603	1	4	61	4	3	28	2196	0	0	0
0.604	1	9	61	5	4	28	2196	0	0	0
0.605	1	7	61	6	9	28	2196	0	0	0
0.606	1	2	61	7	10	28	2196	0	0	0
0.607	1	10	61	8	11	28	2196	0	0	0
0.608	1	1	61	9	12	28	2196	0	0	0
0.609	1	5	61	10	15	28	2196	0	0	0
0.61	1	8	62	1	16	28	2196	0	0	0
0.611	1	6	62	2	1	28	2196	0	0	0
0.612	1	3	62	3	2	28	2196	0	0	0
0.613	1	4	62	4	3	28	2196	0	0	0
0.614	1	9	62	5	4	28	2196	0	0	0
0.615	1	7	62	6	9	28	2196	0	0	0
0.616	1	2	62	7	10	28	2196	0	0	0
0.617	1	10	62	8	11	28	2196	0	0	0
0.618	1	1	62	9	12	28	2196	0	0	0
0.619	1	5	62	10	15	28	2196	0	0	0
0.62	1	8	63	1	16	28	2196	0	0	0
0.621	1	6	63	2	1	28	2196	0	0	0
0.622	1	3	63	3	2	28	2196	0	0	0
0.623	1	4	63	4	3	28	2196	0	0	0
0.624	1	9	63	5	4	28	2196	0	0	0
0.625	1	7	63	6	9	28	2196	0	0	0
0.626	1	2	63	7	10	28	2196	0	0	0
0.627	1	10	63	8	11	28	2196	0	0	0
0.628	1	1	63	9	12	28	2196	0	0	0
0.629	1	5	63	10	15	28	2196	0	0	0
0.63	1	8	64	1	16	28	2196	0	0	0
0.631	1	6	64	2	1	28	2196	0	0	0
0.632	1	3	64	3	2	28	2196	0	0	0
0.633	1	4	64	4	3	28	2196	0	0	0
0.634	1	9	64	5	4	28	2196	0	0	0
0.635	1	7	64	6	9	28	2196	0	0	0
0.636	1	2	64	7	10	28	2196	0	0	0
0.637	1	10	64	8	11	28	2196	0	0	0
0.638	1	1	64	9	12	28	2196	0	0	0
0.639	1	5	64	10	15	28	2196	0	0	0
0.64	1	8	65	1	16	28	2196	0	0	0
0.641	1	6	65	2	1	28	2196	0	0	0
0.642	1	3	65	3	2	28	2196	0	0	0
0.643	1	4	65	4	3	28	2196	0	0	0
0.644	1	9	65	5	4	28	2196	0	0	0
0.645	1	7	65	6	9	28	2196	0	0	0
0.646	1	2	65	7	10	28	2196	0	0	0
0.647	1	10	65	8	11	28	2196	0	0	0
0.648	1	1	65	9	12	28	2196	0	0	0
0.649	1	5	65	10	15	28	2196	0	0	0
0.65	1	8	66	1	16	28	2196	0	0	0
0.651	1	6	66	2	1	28	2196	0	0	0
0.652	1	3	66	3	2	28	2196	0	0	0
0.653	1	4	66	4	3	28	2196	0	0	0
0.654	1	9	66	5	4	28	2196	0	0	0
0.655	1	7	66	6	9	28	2196	0	0	0
0.656	1	2	66	7	10	28	2196	0	0	0
0.657	1	10	66	8	11	28	2196	0	0	0
0.658	1	1	66	9	12	28	2196	0	0	0
0.659	1	5	66	10	15	28	2196	0	0	0
0.66	1	8	67	1	16	28	2196	0	0	0
0.661	1	6	67	2	1	28	2196	0	0	0
0.662	1	3	67	3	2	28	2196	0	0	0
0.663	1	4	67	4	3	28	2196	0	0	0
0.664	1	9	67	5	4	28	2196	0	0	0
0.665	1	7	67	6	9	28	2196	0	0	0
0.666	1	2	67	7	10	28	2196	0	0	0
0.667	1	10	67	8	11	28	2196	0	0	0
0.668	1	1	67	9	12	28	2196	0	0	0
0.669	1	5	67	10	15	28	2196	0	0	0
0.67	1	8	68	1	16	28	2196	0	0	0
0.671	1	6	68	2	1	28	2196	0	0	0
0.672	1	3	68	3	2	28	2196	0	0	0
0.673	1	4	68	4	3	28	2196	0	0	0
0.674	1	9	68	5	4	28	2196	0	0	0
0.675	1	7	68	6	9	28	2196	0	0	0
0.676	1	2	68	7	10	28	2196	0	0	0
0.677	1	10	68	8	11	28	2196	0	0	0
0.678	1	1	68	9	12	28	2196	0	0	0
0.679	1	5	68	10	15	28	2196	0	0	0
0.68	1	8	69	1	16	28	2196	0	0	0
0.681	1	6	69	2	1	28	2196	0	0	0
0.682	1	3	69	3	2	28	2196	0	0	0
0.683	1	4	69	4	3	28	2196	0	0	0
0.684	1	9	69	5	4	28	2196	0	0	0
0.685	1	7	69	6	9	28	2196	0	0	0
0.686	1	2	69	7	10	28	2196	0	0	0
0.687	1	10	69	8	11	28	2196	0	0	0
0.688	1	1	69	9	12	28	2196	0	0	0
0.689	1	5	69	10	15	28	2196	0	0	0
0.69	1	8	70	1	16	28	2196	0	0	0
0.691	1	6	70	2	1	28	2196	0	0	0
0.692	1	3	70	3	2	28	2196	0	0	0
0.693	1	4	70	4	3	28	2196	0	0	0
0.694	1	9	70	5	4	28	2196	0	0	0
0.695	1	7	70	6	9	28	2196	0	0	0
0.696	1	2	70	7	10	28	2196	0	0	0
0.697	1	10	70	8	11	28	2196	0	0	0
0.698	1	1	70	9	12	28	2196	0	0	0
0.699	1	5	70	10	15	28	2196	0	0	0
0.7	1	8	71	1	16	28	2196	0	0	0
0.701	1	6	71	2	1	28	2196	0	0	0
0.702	1	3	71	3	2	28	2196	0	0	0
0.703	1	4	71	4	3	28	2196	0	0	0
0.704	1	9	71	5	4	28	2196	0	0	0
0.705	1	7	71	6	9	28	2196	0	0	0
0.706	1	2	71	7	10	28	2196	0	0	0
0.707	1	10	71	8	11	28	2196	0	0	0
0.708	1	1	71	9	12	28	2196	0	0	0
0.709	1	5	71	10	15	28	2196	0	0	0
0.71	1	8	72	1	16	28	2196	0	0	0
0.711	1	6	72	2	1	28	2196	0	0	0
0.712	1	3	72	3	2	28	2196	0	0	0
0.713	1	4	72	4	3	28	2196	0	0	0
0.714	1	9	72	5	4	28	2196	0	0	0
0.715	1	7	72	6	9	28	2196	0	0	0
0.716	1	2	72	7	10	28	2196	0	0	0
0.717	1	10	72	8	11	28	2196	0	0	0
0.718	1	1	72	9	12	28	2196	0	0	0
0.719	1	5	72	10	15	28	2196	0	0	0
0.72	1	8	73	1	16	28	2196	0	0	0
0.721	1	6	73	2	1	28	2196	0	0	0
0.722	1	3	73	3	2	28	2196	0	0	0
0.723	1	4	73	4	3	28	2196	0	0	0
0.724	1	9	73	5	4	28	2196	0	0	0
0.725	1	7	73	6	9	28	2196	0	0	0
0.726	1	2	73	7	10	28	2196	0	0	0
0.727	1	10	73	8	11	28	2196	0	0	0
0.728	1	1	73	9	12	28	2196	0	0	0
0.729	1	5	73	10	15	28	2196	0	0	0
0.73	1	8	74	1	16	28	2196	0	0	0
0.731	1	6	74	2	1	28	2196	0	0	0
0.732	1	3	74	3	2	28	2196	0	0	0
0.733	1	4	74	4	3	28	2196	0	0	0
0.734	1	9	74	5	4	28	2196	0	0	0
0.735	1	7	74	6	9	28	2196	0	0	0
0.736	1	2	74	7	10	28	2196	0	0	0
0.737	1	10	74	8	11	28	2196	0	0	0
0.738	1	1	74	9	12	28	2196	0	0	0
0.739	1	5	74	10	15	28	2196	0	0	0
0.74	1	8	75	1	16	28	2196	0	0	0
0.741	1	6	75	2	1	28	2196	0	0	0
0.742	1	3	75	3	2	28	2196	0	0	0
0.743	1	4	75	4	3	28	2196	0	0	0
0.744	1	9	75	5	4	28	2196	0	0	0
0.745	1	7	75	6	9	28	2196	0	0	0
0.746	1	2	75	7	10	28	2196	0	0	0
0.747	1	10	75	8	11	28	2196	0	0	0
0.748	1	1	75	9	12	28	2196	0	0	0
0.749	1	5	75	10	15	28	2196	0	0	0
0.75	1	8	76	1	16	28	2196	0	0	0
0.751	1	6	76	2	1	28	2196	0	0	0
0.752	1	3	76	3	2	28	2196	0	0	0
0.753	1	4	76	4	3	28	2196	0	0	0
0.754	1	9	76	5	4	28	2196	0	0	0
0.755	1	7	76	6	9	28	2196	0	0	0
0.756	1	2	76	7	10	28	2196	0	0	0
0.757	1	10	76	8	11	28	2196	0	0	0
0.758	1	1	76	9	12	28	2196	0	0	0
0.759	1	5	76	10	15	28	2196	0	0	0
0.76	1	8	77	1	16	28	2196	0	0	0
0.761	1	6	77	2	1	28	2196	0	0	0
0.762	1	3	77	3	2	28	2196	0	0	0
0.763	1	4	77	4	3	28	2196	0	0	0
0.764	1	9	77	5	4	28	2196	0	0	0
0.765	1	7	77	6	9	28	2196	0	0	0
0.766	1	2	77	7	10	28	2196	0	0	0
0.767	1	10	77	8	11	28	2196	0	0	0
0.768	1	1	77	9	12	28	2196	0	0	0
0.769	1	5	77	10	15	28	2196	0	0	0
0.77	1	8	78	1	16	28	2196	0	0	0
0.771	1	6	78	2	1	28	2196	0	0	0
0.772	1	3	78	3	2	28	2196	0	0	0
0.773	1	4	78	4	3	28	2196	0	0	0
0.774	1	9	78	5	4	28	2196	0	0	0
0.775	1	7	78	6	9	28	2196	0	0	0
0.776	1	2	78	7	10	28	2196	0	0	0
0.777	1	10	78	8	11	28	2196	0	0	0
0.778	1	1	78	9	12	28	2196	0	0	0
0.779	1	5	78	10	15	28	2196	0	0	0
0.78	1	8	79	1	16	28	2196	0	0	0
0.781	1	6	79	2	1	28	2196	0	0	0
0.782	1	3	79	3	2	28	2196	0	0	0
0.783	1	4	79	4	3	28	2196	0	0	0
0.784	1	9	79	5	4	28	2196	0	0	0
0.785	1	7	79	6	9	28	2196	0	0	0
0.786	1	2	79	7	10	28	2196	0	0	0
0.787	1	10	79	8	11	28	2196	0	0	0
0.788	1	1	79	9	12	28	2196	0	0	0
0.789	1	5	79	10	15	28	2196	0	0	0
0.79	1	8	80	1	16	28	2196	0	0	0
0.791	1	6	80	2	1	28	2196	0	0	0
0.792	1	3	80	3	2	28	2196	0	0	0
